==========================================
  监控指标测试服务已启动
  端口: 8088
==========================================

可用接口:
  健康检查:    GET http://localhost:8088/api/test/health
  RabbitMQ指标: GET http://localhost:8088/api/test/rabbitmq
  主机指标:    GET http://localhost:8088/api/test/host
  日志指标:    GET http://localhost:8088/api/test/logs

按 Ctrl+C 停止服务

==========================================
  监控指标测试服务已启动
  端口: 8088
==========================================

可用接口:
  健康检查:    GET http://localhost:8088/api/test/health
  RabbitMQ指标: GET http://localhost:8088/api/test/rabbitmq
  主机指标:    GET http://localhost:8088/api/test/host
  日志指标:    GET http://localhost:8088/api/test/logs

按 Ctrl+C 停止服务

[GIN] 2026/07/10 - 14:29:40 | 200 |      55.875µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:40 | 200 |     137.917µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:40 | 200 |      83.791µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:53 | 200 |      730.25µs |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:29:53 | 200 |     210.833µs |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:29:53 | 200 |     125.041µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:53 | 200 |      86.667µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:53 | 200 |      45.292µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:53 | 200 |      91.166µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:29:53 | 200 |     164.917µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |     114.791µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      78.208µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      27.459µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      20.916µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      21.709µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      34.584µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      21.833µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:29:53 | 200 |      68.833µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:53 | 200 |        74.5µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:53 | 200 |      94.875µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:53 | 200 |       54.75µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:53 | 200 |      62.042µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:29:53 | 200 |      53.833µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:53:08 | 200 |    1.936583ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:53:08 | 200 |    1.753583ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 14:53:08 | 200 |     907.083µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:53:08 | 200 |     837.666µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:53:08 | 200 |      73.166µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:53:08 | 200 |          21µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:53:08 | 200 |     510.792µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:53:08 | 200 |      56.833µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:53:08 | 200 |     249.292µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:53:08 | 200 |      40.458µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:53:08 | 200 |     789.958µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 14:53:08 | 200 |      42.125µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:53:08 | 200 |      22.583µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:53:08 | 200 |      62.917µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 14:53:08 | 200 |     233.334µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 14:53:08 | 200 |      82.125µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:34:37 | 200 |    4.686125ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 16:34:37 | 200 |    4.805542ms |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 16:34:37 | 200 |     945.458µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:34:37 | 200 |     861.958µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:34:37 | 200 |     364.459µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:34:37 | 200 |     353.958µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:34:37 | 200 |         212µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:34:37 | 200 |      32.792µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:34:37 | 200 |     170.875µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:34:37 | 200 |      18.916µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:34:37 | 200 |      14.875µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:34:37 | 200 |      18.208µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:34:37 | 200 |      13.708µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:34:37 | 200 |          14µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:34:37 | 200 |      34.541µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:34:37 | 200 |      40.041µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:35:04 | 200 |     754.375µs |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 16:35:04 | 200 |     754.541µs |       127.0.0.1 | GET      "/api/test/health"
[GIN] 2026/07/10 - 16:35:04 | 200 |     819.875µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:35:04 | 200 |    1.295916ms |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:35:04 | 200 |      81.416µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:35:04 | 200 |      93.375µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:35:04 | 200 |     112.959µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:35:04 | 200 |         112µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:35:04 | 200 |      45.209µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:35:04 | 200 |      52.208µs |       127.0.0.1 | GET      "/api/test/rabbitmq"
[GIN] 2026/07/10 - 16:35:04 | 200 |      23.292µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:35:04 | 200 |     270.958µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:35:04 | 200 |      29.375µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:35:04 | 200 |      21.459µs |       127.0.0.1 | GET      "/api/test/host"
[GIN] 2026/07/10 - 16:35:04 | 200 |     100.833µs |       127.0.0.1 | GET      "/api/test/logs"
[GIN] 2026/07/10 - 16:35:04 | 200 |     379.917µs |       127.0.0.1 | GET      "/api/test/logs"
